TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1689399365,7/15/2023 5:36:05 AM,72.19,76.82,56.59,967.02,7.05,134,0,
1689399425,7/15/2023 5:37:05 AM,72.41,77.0,56.14,967.03,6.05,135,0,
1689399485,7/15/2023 5:38:05 AM,72.46,77.0,56.03,967.03,9.2,143,0,
1689399545,7/15/2023 5:39:05 AM,72.39,77.18,56.2,967.04,8.68,158,0,
1689399605,7/15/2023 5:40:05 AM,72.61,77.36,55.91,967.05,6.96,148,0,
1689399665,7/15/2023 5:41:05 AM,72.79,77.54,55.57,967.06,18.59,155,0,
1689399725,7/15/2023 5:42:05 AM,72.97,77.72,55.09,967.07,16.34,149,0,
1689399785,7/15/2023 5:43:05 AM,72.95,77.72,54.97,967.08,12.74,152,0,
1689399845,7/15/2023 5:44:05 AM,73.09,77.9,54.77,967.09,14.34,137,0,
1689399905,7/15/2023 5:45:05 AM,73.38,78.08,54.31,967.07,14.02,158,0,
1689399965,7/15/2023 5:46:05 AM,73.4,78.08,54.31,967.06,8.2,150,0,
1689400025,7/15/2023 5:47:05 AM,73.8,78.26,53.76,967.02,8.71,144,0,
1689400085,7/15/2023 5:48:05 AM,73.94,78.44,53.55,967.02,10,158,0,
1689400145,7/15/2023 5:49:05 AM,74.35,78.62,52.97,967.02,13.67,152,0,
1689400205,7/15/2023 5:50:05 AM,74.82,78.62,52.5,967.03,12.85,142,0,
1689400265,7/15/2023 5:51:05 AM,74.86,78.62,52.36,967.03,21.61,148,0,
1689400325,7/15/2023 5:52:05 AM,74.98,78.98,51.93,967.04,21.5,155,0,
1689400385,7/15/2023 5:53:05 AM,75.0,79.16,51.66,967.05,8.34,115,0,
1689400445,7/15/2023 5:54:05 AM,75.27,79.16,51.61,967.07,2.36,111,0,
1689400505,7/15/2023 5:55:05 AM,75.43,79.34,51.15,967.09,2.77,120,0,
1689400565,7/15/2023 5:56:05 AM,75.61,79.34,50.76,967.09,8.67,132,0,
1689400625,7/15/2023 5:57:05 AM,75.92,79.52,50.29,967.08,3.35,129,0,
1689400685,7/15/2023 5:58:05 AM,76.1,79.7,50.04,967.08,5.02,109,0,
1689400745,7/15/2023 5:59:05 AM,76.42,79.88,49.95,967.08,0,131,0,
1689400805,7/15/2023 6:00:05 AM,76.64,80.06,49.37,967.08,4.71,135,0,
1689400865,7/15/2023 6:01:05 AM,76.89,80.24,48.96,967.09,7.53,137,0,
1689400925,7/15/2023 6:02:05 AM,77.23,80.24,48.58,967.09,11.51,132,0,
