TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1713596730,4/20/2024 7:05:30 AM,59.72,71.78,54,1002.9,2,248,0,
1713596790,4/20/2024 7:06:30 AM,59.72,71.78,54,1002.8,3,242,0,
1713596850,4/20/2024 7:07:30 AM,59.54,71.6,54,1002.9,3,241,0,
1713596910,4/20/2024 7:08:30 AM,59.54,70.88,54,1002.9,3,253,0,
1713596970,4/20/2024 7:09:30 AM,59.54,70.88,54,1002.9,3,255,0,
1713597030,4/20/2024 7:10:30 AM,59.72,70.7,50,1002.9,3,253,0,
1713597090,4/20/2024 7:11:30 AM,59.72,70.34,50,1002.9,3,255,0,
1713597151,4/20/2024 7:12:31 AM,59.72,69.98,47,1003,3,270,0,
1713597211,4/20/2024 7:13:31 AM,59.72,69.8,48,1003,3,232,0,
1713597271,4/20/2024 7:14:31 AM,59.54,69.26,46,1003,3,201,0,
1713597331,4/20/2024 7:15:31 AM,59.54,69.08,47,1003,3,196,0,
1713597391,4/20/2024 7:16:31 AM,59.36,69.26,47,1002.9,3,188,0,
