TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1720894415,7/13/2024 6:13:35 PM,14.8,19.6,85,934.8,4,235,0,
1720894480,7/13/2024 6:14:40 PM,14.8,19.6,85,934.8,4,225,0,
1720894540,7/13/2024 6:15:40 PM,14.8,19.7,85,934.9,5,230,0,
1720894600,7/13/2024 6:16:40 PM,14.8,19.6,85,934.9,4,230,0,
1720894660,7/13/2024 6:17:40 PM,14.8,19.5,85,934.9,4,245,0,
1720894720,7/13/2024 6:18:40 PM,14.8,19.1,85,934.9,4,253,0,
1720894780,7/13/2024 6:19:40 PM,14.8,19.2,85,934.9,4,257,0,
1720894840,7/13/2024 6:20:40 PM,14.8,19.2,85,934.9,5,261,0,
1720894900,7/13/2024 6:21:40 PM,14.8,19.3,85,934.8,5,268,0,
1720894960,7/13/2024 6:22:40 PM,14.9,19.5,85,934.7,4,271,0,
1720895020,7/13/2024 6:23:40 PM,14.9,19.4,85,934.7,4,268,0,
1720895081,7/13/2024 6:24:41 PM,14.9,19.4,85,934.7,4,268,0,
