TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1634994031,23/10/2021 13:00:31,75.2,96.8,"45,79","1008,02","12,4",145,0,
1634994091,23/10/2021 13:01:31,73.4,96.8,"45,99","1008,05","9,68",147,0,
1634994151,23/10/2021 13:02:31,75.2,96.8,"45,86","1008,02","21,6",147,0,
1634994211,23/10/2021 13:03:31,73.4,96.8,"47,01","1007,98","10,24",145,0,
1634994271,23/10/2021 13:04:31,73.4,96.8,"47,75","1007,95","12,65",142,0,
1634994331,23/10/2021 13:05:31,73.4,96.8,"47,55","1008,01","16,54",145,0,
1634994391,23/10/2021 13:06:31,73.4,96.8,"47,32","1007,97","5,98",142,0,
1634994451,23/10/2021 13:07:31,73.4,96.8,"47,48","1007,97","9,84",144,0,
1634994511,23/10/2021 13:08:31,73.4,96.8,"48,27","1007,97","21,6",143,0,
1634994571,23/10/2021 13:09:31,73.4,96.8,"48,66","1007,98","9,56",118,0,
