TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1668175832,11/11/2022 2:10:32 PM,31.7,35.1,32,1015.2,2.88,75,0,
1668175892,11/11/2022 2:11:32 PM,31.7,35.1,32,1015.2,2.88,64,0,
1668175952,11/11/2022 2:12:32 PM,31.6,35,34,1015.2,3.24,68,0,
1668176012,11/11/2022 2:13:32 PM,31.5,34.9,34,1015.3,2.88,352,0,
1668176072,11/11/2022 2:14:32 PM,31.5,34.7,35,1015.2,2.88,56,0,
1668176133,11/11/2022 2:15:33 PM,31.4,34.6,36,1015.3,2.16,63,0,
1668176193,11/11/2022 2:16:33 PM,31.3,34.4,37,1015.3,2.52,52,0,
1668176253,11/11/2022 2:17:33 PM,31.3,34.4,37,1015.2,3.24,45,0,
1668176313,11/11/2022 2:18:33 PM,31.2,34.4,38,1015.2,3.6,66,0,
1668176373,11/11/2022 2:19:33 PM,31.2,34.4,39,1015.2,3.6,79,0,
