TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1629388513,8/19/2021 3:55:13 PM,20.9,33.6,60.1,1008.8,4.68,182,0,
1629388573,8/19/2021 3:56:13 PM,20.9,33.7,60,1008.7,1.8,208,0,
1629388633,8/19/2021 3:57:13 PM,21,34,60.1,1008.8,5.4,220,0,
1629388693,8/19/2021 3:58:13 PM,21.2,34.2,58.6,1008.7,3.24,230,0,
1629388753,8/19/2021 3:59:13 PM,21.3,34.2,58.8,1008.7,3.24,147,0,
1629388813,8/19/2021 4:00:13 PM,21.4,34.4,57.9,1008.6,2.88,223,0,
1629388874,8/19/2021 4:01:14 PM,21.4,34.4,58.2,1008.7,2.52,234,0,
1629388934,8/19/2021 4:02:14 PM,21.5,34.9,58.2,1008.7,3.24,223,0,
1629388994,8/19/2021 4:03:14 PM,21.4,34.6,57.1,1008.7,3.24,274,0,
1629389054,8/19/2021 4:04:14 PM,21.2,34.4,58.1,1008.7,2.88,254,0,
1629389114,8/19/2021 4:05:14 PM,21.4,34.6,58.1,1008.7,2.52,241,0,
1629389174,8/19/2021 4:06:14 PM,21.5,34.6,57.9,1008.7,3.24,257,0,
1629389234,8/19/2021 4:07:14 PM,21.6,34.7,57.8,1008.7,6.84,224,0,
1629389294,8/19/2021 4:08:14 PM,21.5,34.7,58.6,1008.5,2.88,237,0,
1629389354,8/19/2021 4:09:14 PM,21.7,34.7,58.6,1008.7,4.68,232,0,
1629389414,8/19/2021 4:10:14 PM,21.6,34.8,58.4,1008.6,6.12,203,0,
1629389474,8/19/2021 4:11:14 PM,21.6,34.8,57.9,1008.7,2.88,204,0,
1629389535,8/19/2021 4:12:15 PM,21.6,34.6,57.9,1008.6,4.68,197,0,
1629389595,8/19/2021 4:13:15 PM,21.6,34.3,57.7,1008.6,2.52,172,0,
1629389655,8/19/2021 4:14:15 PM,21.6,34.3,57.7,1008.7,3.6,205,0,
1629389715,8/19/2021 4:15:15 PM,21.3,33.7,58.3,1008.6,1.8,233,0,
1629389775,8/19/2021 4:16:15 PM,21.2,33,58.7,1008.6,5.04,217,0,
1629389835,8/19/2021 4:17:15 PM,21,32.6,59.2,1008.6,2.52,203,0,
1629389895,8/19/2021 4:18:15 PM,20.9,32.3,59.8,1008.6,2.52,145,0,
1629389955,8/19/2021 4:19:15 PM,20.9,32.1,59.4,1008.7,2.16,231,0,
1629390015,8/19/2021 4:20:15 PM,20.9,31.9,60.2,1008.7,2.16,215,0,
1629390075,8/19/2021 4:21:15 PM,20.7,31.7,59.7,1008.6,3.96,231,0,
1629390135,8/19/2021 4:22:15 PM,20.6,31.3,59.8,1008.7,3.24,229,0,
1629390196,8/19/2021 4:23:16 PM,20.6,31,59.8,1008.7,5.4,227,0,
1629390256,8/19/2021 4:24:16 PM,20.4,31,60.4,1008.6,3.6,215,0,
1629390316,8/19/2021 4:25:16 PM,20.3,31,60.9,1008.6,3.24,233,0,
1629390376,8/19/2021 4:26:16 PM,20.3,30.9,60.9,1008.6,3.6,233,0,
1629390436,8/19/2021 4:27:16 PM,20.3,30.9,61.3,1008.6,2.88,159,0,
1629390496,8/19/2021 4:28:16 PM,20.4,30.9,61.4,1008.5,1.8,201,0,
1629390556,8/19/2021 4:29:16 PM,20.5,31,60.7,1008.6,2.52,149,0,
1629390616,8/19/2021 4:30:16 PM,20.6,31,60.1,1008.6,3.6,165,0,
1629390676,8/19/2021 4:31:16 PM,20.5,30.9,60.1,1008.6,2.16,213,0,
1629390736,8/19/2021 4:32:16 PM,20.5,30.8,60.6,1008.5,2.16,191,0,
1629390796,8/19/2021 4:33:16 PM,20.5,30.8,61,1008.6,2.16,232,0,
1629390857,8/19/2021 4:34:17 PM,20.5,30.7,60.9,1008.5,4.32,246,0,
1629390917,8/19/2021 4:35:17 PM,20.4,30.6,61,1008.6,3.6,262,0,
1629390977,8/19/2021 4:36:17 PM,20.4,30.7,61.4,1008.6,2.52,244,0,
1629391037,8/19/2021 4:37:17 PM,20.5,30.8,61.4,1008.6,1.8,0,0,
1629391097,8/19/2021 4:38:17 PM,20.6,30.7,61.1,1008.6,1.44,118,0,
1629391157,8/19/2021 4:39:17 PM,20.6,30.7,61.3,1008.6,2.16,136,0,
