TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1758951607,9/27/2025 5:40:07 AM,23.1,35.1,65,951.1,8,55,0,
1758951667,9/27/2025 5:41:07 AM,23.4,35,65,951.1,6,64,0,
1758951727,9/27/2025 5:42:07 AM,23.5,34.8,64,951.2,5,64,0,
1758951787,9/27/2025 5:43:07 AM,23.2,34.7,65,951.1,6,45,0,
1758951852,9/27/2025 5:44:12 AM,23.3,34.5,64,951,2,23,0,
1758951912,9/27/2025 5:45:12 AM,23.2,34.5,65,951.1,4,356,0,
1758951972,9/27/2025 5:46:12 AM,23.5,34.3,64,951,3,341,0,
1758952032,9/27/2025 5:47:12 AM,23.5,34.3,64,951,3,57,0,
1758952092,9/27/2025 5:48:12 AM,23.5,34.3,64,951,3,54,0,
1758952153,9/27/2025 5:49:13 AM,23.8,34.2,64,951,1,48,0,
