TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1726294848,9/14/2024 6:20:48 AM,28.6,41.3,68,944.6,6,226,0,
1726294908,9/14/2024 6:21:48 AM,28.5,41.2,69,944.5,7,224,0,
1726294968,9/14/2024 6:22:48 AM,28.5,41.1,69,944.6,7,217,0,
1726295028,9/14/2024 6:23:48 AM,28.5,40.8,69,944.6,6,218,0,
1726295088,9/14/2024 6:24:48 AM,28.5,40.8,69,944.6,6,221,0,
1726295148,9/14/2024 6:25:48 AM,28.5,40.8,69,944.6,5,221,0,
1726295208,9/14/2024 6:26:48 AM,28.6,40.7,69,944.6,5,226,0,
1726295268,9/14/2024 6:27:48 AM,28.6,40.5,68,944.6,5,226,0,
1726295328,9/14/2024 6:28:48 AM,28.6,40.3,68,944.6,5,219,0,
1726295388,9/14/2024 6:29:48 AM,28.5,39.9,69,944.6,5,218,0,
