POSITION,NUMBER,STATUS,LAPS,TOTAL_TIME,GAP_FIRST,GAP_PREVIOUS,FL_LAPNUM,FL_TIME,FL_KPH,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,424,Classified,42,4:00:55.090,-,-,34,5:02.971,161.9,GROUPE LEMOINE by M3M,,,,Fun Cup,,,,,,,,,,,,,GROUPE LEMOINE by M3M,,,,,,,,,,
2,480,Classified,42,4:00:55.557,+0.467,+0.467,41,5:04.873,160.9,MILO-TOURNEUR,,,,Fun Cup,,,,,,,,,,,,,MILO-TOURNEUR,,,,,,,,,,
3,888,Classified,42,4:01:25.320,+30.230,+29.763,36,5:02.883,162.0,SP CONSULTING,,,,Fun Cup,,,,,,,,,,,,,SP CONSULTING,,,,,,,,,,
4,490,Classified,42,4:01:29.030,+33.940,+3.710,40,5:04.043,161.3,BALTISSE  RACING,,,,Fun Cup,,,,,,,,,,,,,BALTISSE  RACING,,,,,,,,,,
5,502,Classified,42,4:01:29.247,+34.157,+0.217,40,5:04.264,161.2,ZOSH - PROJET 24,,,,Fun Cup,,,,,,,,,,,,,ZOSH - PROJET 24,,,,,,,,,,
6,423,Classified,42,4:01:29.882,+34.792,+0.635,13,5:04.578,161.1,ORHES - BMA,E,,,Fun Cup,,,,,,,,,,,,,ORHES - BMA,,,,,,,,,,
7,24,Classified,42,4:01:41.961,+46.871,+12.079,34,5:07.009,159.8,SYSTEMHOUSE,,,,Fun Cup,,,,,,,,,,,,,SYSTEMHOUSE 24,,,,,,,,,,
8,510,Classified,42,4:01:47.602,+52.512,+5.641,40,5:05.967,160.3,ZOSH - MAGELLAN,,,,Fun Cup,,,,,,,,,,,,,ZOSH - MAGELLAN,,,,,,,,,,
9,488,Classified,42,4:01:47.813,+52.723,+0.211,41,5:05.281,160.7,BEN WATCHES X BUZZ BY MILO,,,,Fun Cup,,,,,,,,,,,,,BEN WATCHES X BUZZ BY MILO,,,,,,,,,,
10,416,Classified,42,4:01:50.079,+54.989,+2.266,32,5:08.439,159.0,IFAE - GALVANOR BY SKR,,,,Fun Cup,,,,,,,,,,,,,IFAE - GALVANOR BY SKR,,,,,,,,,,
11,427,Classified,42,4:03:05.334,+2:10.244,+1:15.255,31,5:08.441,159.0,SPEBOFF,,,,Fun Cup,,,,,,,,,,,,,SPEBOFF,,,,,,,,,,
12,533,Classified,42,4:03:11.204,+2:16.114,+5.870,35,5:01.394,162.8,MILO,,,,Fun Cup,,,,,,,,,,,,,MILO,,,,,,,,,,
13,525,Classified,42,4:03:43.090,+2:48.000,+31.886,23,5:07.609,159.5,Team Viking Ursus Capital Racing,,,,Fun Cup,,,,,,,,,,,,,Team Viking Ursus Capital Racing,,,,,,,,,,
14,405,Classified,42,4:04:02.576,+3:07.486,+19.486,35,5:09.503,158.5,GROUPE ANDY FINANCIERE W BY SKR,E,,,Fun Cup,,,,,,,,,,,,,GROUPE ANDY FINANCIERE W BY SKR,,,,,,,,,,
15,463,Classified,42,4:04:51.103,+3:56.013,+48.527,23,5:09.084,158.7,HEART OF RACING BY M3M,,,,Fun Cup,,,,,,,,,,,,,HEART OF RACING BY M3M,,,,,,,,,,
16,183,Classified,42,4:05:09.388,+4:14.298,+18.285,35,5:03.843,161.4,BH MOTORS,,,,Fun Cup,,,,,,,,,,,,,BH MOTORS,,,,,,,,,,
17,521,Classified,42,4:05:20.264,+4:25.174,+10.876,27,5:06.618,160.0,RETRODOR BY DNS,,,,Fun Cup,,,,,,,,,,,,,RETRODOR BY DNS,,,,,,,,,,
18,539,Classified,42,4:06:13.962,+5:18.872,+53.698,39,5:08.447,159.0,ZOSH - DRIVING KONCEPT 1,,,,Fun Cup,,,,,,,,,,,,,ZOSH - DRIVING KONCEPT 1,,,,,,,,,,
19,442,Classified,41,4:01:50.126,1 Lap,1 Lap,41,5:07.202,159.7,ORHES - SYSTEMIC,E,,,Fun Cup,,,,,,,,,,,,,ORHES - SYSTEMIC,,,,,,,,,,
20,482,Classified,41,4:02:41.324,1 Lap,+51.198,21,5:07.847,159.3,NO LIMIT RACING,,,,Fun Cup,,,,,,,,,,,,,NO LIMIT RACING 482,,,,,,,,,,
21,546,Classified,41,4:02:55.396,1 Lap,+14.072,38,5:08.570,159.0,TEAM WRT,,,,Fun Cup,,,,,,,,,,,,,TEAM WRT 546,,,,,,,,,,
22,88,Classified,41,4:02:56.031,1 Lap,+0.635,40,5:07.675,159.4,TEAM WRT,,,,Fun Cup,,,,,,,,,,,,,TEAM WRT 88,,,,,,,,,,
23,26,Classified,41,4:03:18.119,1 Lap,+22.088,34,5:11.791,157.3,NO LIMIT RACING,,,,Fun Cup,,,,,,,,,,,,,NO LIMIT RACING 26,,,,,,,,,,
24,72,Classified,41,4:03:40.542,1 Lap,+22.423,22,5:12.798,156.8,SOUND QUATTRO,E,,,Fun Cup,,,,,,,,,,,,,SOUND QUATTRO,,,,,,,,,,
25,536,Classified,41,4:03:44.616,1 Lap,+4.074,41,5:07.235,159.7,AP MECA,,,,Fun Cup,,,,,,,,,,,,,AP MECA 536,,,,,,,,,,
26,524,Classified,41,4:03:48.492,1 Lap,+3.876,38,5:03.565,161.6,VR Racing,,,,Fun Cup,,,,,,,,,,,,,VR Racing,,,,,,,,,,
27,456,Classified,41,4:03:51.793,1 Lap,+3.301,40,5:06.706,159.9,BR TEAM 3,E,,,Fun Cup,,,,,,,,,,,,,BR TEAM 3,,,,,,,,,,
28,509,Classified,41,4:04:12.832,1 Lap,+21.039,38,5:08.549,159.0,M3 MARTINI,,,,Fun Cup,,,,,,,,,,,,,M3 MARTINI,,,,,,,,,,
29,483,Classified,41,4:04:14.393,1 Lap,+1.561,22,5:06.586,160.0,ORHES - ARTHRITIS,E,,,Fun Cup,,,,,,,,,,,,,ORHES - ARTHRITIS,,,,,,,,,,
30,508,Classified,41,4:04:39.384,1 Lap,+24.991,22,5:07.845,159.3,ADELCOM - ASTONJET BY SKR,E,,,Fun Cup,,,,,,,,,,,,,ADELCOM - ASTONJET BY SKR,,,,,,,,,,
31,260,Classified,41,4:05:14.955,1 Lap,+35.571,30,5:12.442,157.0,MCDONALD'S RACING BY COMTOYOU,,,,Fun Cup,,,,,,,,,,,,,MCDONALD'S RACING BY COMTOYOU,,,,,,,,,,
32,475,Classified,41,4:05:19.711,1 Lap,+4.756,20,5:10.496,158.0,ZOSH - DRIVING KONCEPT 2,,,,Fun Cup,,,,,,,,,,,,,ZOSH - DRIVING KONCEPT 2,,,,,,,,,,
33,454,Classified,41,4:05:20.540,1 Lap,+0.829,38,5:11.201,157.6,Team TAHA,,,,Fun Cup,,,,,,,,,,,,,Team TAHA,,,,,,,,,,
34,149,Classified,41,4:05:28.482,1 Lap,+7.942,12,5:06.974,159.8,CURRUS RACING,,,,Fun Cup,,,,,,,,,,,,,CURRUS RACING,,,,,,,,,,
35,531,Classified,41,4:05:29.518,1 Lap,+1.036,38,5:14.630,155.9,TFE by ZOSH,E,,,Fun Cup,,,,,,,,,,,,,TFE by ZOSH,,,,,,,,,,
36,414,Classified,41,4:05:33.625,1 Lap,+4.107,26,5:12.388,157.0,AC MOTORSPORT,,,,Fun Cup,,,,,,,,,,,,,AC MOTORSPORT 414,,,,,,,,,,
37,400,Classified,41,4:05:40.496,1 Lap,+6.871,32,5:18.261,154.1,WOODSTOXX NU FLOW RACING,,,,Fun Cup,,,,,,,,,,,,,WOODSTOXX NU FLOW RACING,,,,,,,,,,
38,156,Classified,41,4:05:52.324,1 Lap,+11.828,27,5:05.751,160.4,AAI BY SKR,E,,,Fun Cup,,,,,,,,,,,,,AAI BY SKR,,,,,,,,,,
39,527,Classified,41,4:06:03.724,1 Lap,+11.400,33,5:06.729,159.9,TEAM WRT,,,,Fun Cup,,,,,,,,,,,,,TEAM WRT,,,,,,,,,,
40,526,Classified,41,4:06:06.562,1 Lap,+2.838,32,5:14.646,155.9,GDL ITALIA,,,,Fun Cup,,,,,,,,,,,,,GDL ITALIA,,,,,,,,,,
41,501,Classified,41,4:06:07.113,1 Lap,+0.551,33,5:14.126,156.2,ZOSH - ANGEVIN,E,,,Fun Cup,,,,,,,,,,,,,ZOSH - ANGEVIN,,,,,,,,,,
42,259,Classified,41,4:06:15.394,1 Lap,+8.281,38,5:08.395,159.1,BARTON RACING,,,,Fun Cup,,,,,,,,,,,,,BARTON RACING,,,,,,,,,,
43,438,Classified,41,4:06:37.310,1 Lap,+21.916,41,5:07.529,159.5,MC INTERSPORT BY SKR,E,,,Fun Cup,,,,,,,,,,,,,MC INTERSPORT BY SKR,,,,,,,,,,
44,407,Classified,41,4:06:50.946,1 Lap,+13.636,32,5:13.080,156.7,BAD BOYS BY SKR,,,,Fun Cup,,,,,,,,,,,,,BAD BOYS BY SKR,,,,,,,,,,
45,468,Classified,40,4:01:05.905,2 Laps,1 Lap,22,5:13.987,156.2,NO LIMIT RACING,,,,Fun Cup,,,,,,,,,,,,,NO LIMIT RACING 468,,,,,,,,,,
46,270,Classified,40,4:01:16.831,2 Laps,+10.926,21,5:14.183,156.1,THREE SHIRES RACING,E,,,Fun Cup,,,,,,,,,,,,,THREE SHIRES RACING,,,,,,,,,,
47,458,Classified,40,4:01:33.577,2 Laps,+16.746,31,5:15.149,155.7,PSYCODELIC BY M3M,,,,Fun Cup,,,,,,,,,,,,,PSYCODELIC BY M3M,,,,,,,,,,
48,37,Classified,40,4:01:43.525,2 Laps,+9.948,32,5:09.785,158.3,E2P RACING,E,,,Fun Cup,,,,,,,,,,,,,E2P RACING,,,,,,,,,,
49,529,Classified,40,4:01:52.693,2 Laps,+9.168,32,5:09.648,158.4,ORHES - EUROPIERRE - SOFRAT,E,,,Fun Cup,,,,,,,,,,,,,ORHES - EUROPIERRE - SOFRAT,,,,,,,,,,
50,29,Classified,40,4:01:56.887,2 Laps,+4.194,21,5:13.793,156.3,NO LIMIT RACING,,,,Fun Cup,,,,,,,,,,,,,NO LIMIT RACING 29,,,,,,,,,,
51,116,Classified,40,4:02:20.947,2 Laps,+24.060,23,5:14.163,156.1,PP 81,E,,,Fun Cup,,,,,,,,,,,,,PP 81,,,,,,,,,,
52,491,Classified,40,4:02:26.458,2 Laps,+5.511,34,5:08.869,158.8,MADSEN MOTORSPORTS BY M3M,,,,Fun Cup,,,,,,,,,,,,,MADSEN MOTORSPORTS BY M3M,,,,,,,,,,
53,403,Classified,40,4:02:41.338,2 Laps,+14.880,32,5:09.258,158.6,MILO,,,,Fun Cup,,,,,,,,,,,,,MILO 403,,,,,,,,,,
54,272,Classified,40,4:03:19.918,2 Laps,+38.580,32,5:15.543,155.5,ZOSH - DRIVING KONCEPT 4,,,,Fun Cup,,,,,,,,,,,,,ZOSH - DRIVING KONCEPT 4,,,,,,,,,,
55,406,Classified,40,4:03:37.141,2 Laps,+17.223,37,5:10.344,158.1,8KS WARNER EXPERIENCE,,,,Fun Cup,,,,,,,,,,,,,8KS WARNER EXPERIENCE,,,,,,,,,,
56,433,Classified,40,4:03:43.533,2 Laps,+6.392,16,5:19.233,153.7,LET'S CO RACING,E,,,Fun Cup,,,,,,,,,,,,,LET'S CO RACING,,,,,,,,,,
57,404,Classified,40,4:03:44.429,2 Laps,+0.896,32,5:15.315,155.6,MILO ARGENTINA,,,,Fun Cup,,,,,,,,,,,,,MILO ARGENTINA 404,,,,,,,,,,
58,434,Classified,40,4:03:46.942,2 Laps,+2.513,40,5:15.186,155.6,FUN FOR RACERS,,,,Fun Cup,,,,,,,,,,,,,FUN FOR RACERS,,,,,,,,,,
59,534,Classified,40,4:03:47.750,2 Laps,+0.808,33,5:14.636,155.9,MAGIC POCKET,E,,,Fun Cup,,,,,,,,,,,,,MAGIC POCKET,,,,,,,,,,
60,280,Classified,40,4:03:53.216,2 Laps,+5.466,40,5:05.427,160.6,MILO SENS,,,,Fun Cup,,,,,,,,,,,,,MILO SENS,,,,,,,,,,
61,288,Classified,40,4:03:55.936,2 Laps,+2.720,21,5:14.872,155.8,ORHES - MOTUL,E,,,Fun Cup,,,,,,,,,,,,,ORHES - MOTUL,,,,,,,,,,
62,432,Classified,40,4:04:03.696,2 Laps,+7.760,32,5:14.958,155.7,BR TEAM 2,E,,,Fun Cup,,,,,,,,,,,,,BR TEAM 2,,,,,,,,,,
63,2,Classified,40,4:04:08.033,2 Laps,+4.337,12,5:12.972,156.7,TEAM GRUAU,E,,,Fun Cup,,,,,,,,,,,,,TEAM GRUAU,,,,,,,,,,
64,498,Classified,40,4:04:37.044,2 Laps,+29.011,32,5:08.128,159.2,AP MECA,,,,Fun Cup,,,,,,,,,,,,,AP MECA,,,,,,,,,,
65,5,Classified,40,4:04:39.237,2 Laps,+2.193,36,5:18.387,154.1,SYSTEMHOUSE 2 RACING,,,,Fun Cup,,,,,,,,,,,,,SYSTEMHOUSE 2 RACING,,,,,,,,,,
66,386,Classified,40,4:05:13.727,2 Laps,+34.490,32,5:12.613,156.9,NO LIMIT RACING,,,,Fun Cup,,,,,,,,,,,,,NO LIMIT RACING 386,,,,,,,,,,
67,408,Classified,40,4:05:15.146,2 Laps,+1.419,41,5:08.877,158.8,NO LIMIT RACING,,,,Fun Cup,,,,,,,,,,,,,NO LIMIT RACING 408,,,,,,,,,,
68,161,Classified,40,4:05:21.324,2 Laps,+6.178,22,5:16.369,155.1,ORHES - SKOOL,E,,,Fun Cup,,,,,,,,,,,,,ORHES - SKOOL,,,,,,,,,,
69,256,Classified,40,4:05:36.332,2 Laps,+15.008,40,5:19.356,153.6,LOGISBOX BY SKR,E,,,Fun Cup,,,,,,,,,,,,,LOGISBOX BY SKR,,,,,,,,,,
