POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,18,7,2:13.480,-,-,156.2,7,SCIONTI RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,M./G.,DESIDERI/PAPARUSSO,,,IT,,,,,,,
2,3,8,2:14.052,+0.572,+0.572,155.6,8,SCIONTI FEDERICO,,,,MITJET 2L,,,,,,,,,,,,FEDERICO,SCIONTI,,,,,,,,,,
3,25,8,2:14.852,+1.372,+0.800,154.6,9,WOLFHOUND,,,,MITJET 2L,,,,,,,,,,,,F./G.,ROUVIER/FORENZI,,,,,,,,,,
4,88,3,2:15.217,+1.737,+0.365,154.2,8,ARCTIC ENERGY,,,,MITJET 2L,,,,,,,,,,,,JANKAVICIUS,POVILAS,,,LTU,,,,,,,
5,71,7,2:15.288,+1.808,+0.071,154.2,7,DNS RACING,,,,MITJET 2L,,,,,,,,,,,,KEVIN,CAPRASSE,,,,,,,,,,
6,128,8,2:15.688,+2.208,+0.400,153.7,8,GT DRIVE,,,,MITJET 2L,,,,,,,,,,,,MARIUS,FOSSARD,,,,,,,,,,
7,116,7,2:15.790,+2.310,+0.102,153.6,7,TEAM LUCAS,,,,MITJET 2L,,,,,,,,,,,,JEROME,THIEL,,,,,,,,,,
8,90,7,2:15.945,+2.465,+0.155,153.4,7,SCIONTI RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,PIER ANDREA,DEMARCO,,,,,,,,,,
9,32,8,2:15.974,+2.494,+0.029,153.4,8,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,V./A.,PRANDI/GUAZZARONI,,,IT,,,,,,,
10,35,9,2:16.069,+2.589,+0.095,153.3,9,ITAL CAR MOTORSPORT,,,,MITJET 2L,,,,,,,,,,,,A./L.,GIROTTI/TOCCI,,,IT,,,,,,,
11,68,8,2:16.245,+2.765,+0.176,153.1,8,SCIONTI RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,D./M.,RACOLTA/PORRETTA,,,IT,,,,,,,
12,34,8,2:17.245,+3.765,+1.000,152.0,8,ITAL CAR MOTORSPORT,,,,MITJET 2L,,,,,,,,,,,,F./L.,MALVESTITI/ENGOLLI,,,IT,,,,,,,
13,115,3,2:17.644,+4.164,+0.399,151.5,8,DC RACING,,,,MITJET 2L,,,,,,,,,,,,ALESSANDRO,FERLONI,,,IT,,,,,,,
14,28,2,2:17.785,+4.305,+0.141,151.4,9,GRT MOTORSPORT,,,,MITJET 2L,,,,,,,,,,,,L./R.,FUNARI/FUOCHI,,,IT,,,,,,,
15,31,6,2:18.789,+5.309,+1.004,150.3,6,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,A./E.,GINESI/SCIOMMERI,,,IT,,,,,,,
16,21,8,2:19.107,+5.627,+0.318,149.9,8,MV2S,,,,MITJET 2L,,,,,,,,,,,,FRANCOIS,GERMAIN,,,,,,,,,,
17,22,8,2:19.278,+5.798,+0.171,149.7,8,MV2S,,,,MITJET 2L,,,,,,,,,,,,FRANCOIS,BUISSON,,,,,,,,,,
18,11,9,2:19.282,+5.802,+0.004,149.7,9,GT DRIVE,,,,MITJET 2L,,,,,,,,,,,,JEREMY,TOURNISSOUX,,,,,,,,,,
19,83,7,2:19.385,+5.905,+0.103,149.6,8,DNS RACING,,,,MITJET 2L,,,,,,,,,,,,JEAN-MARC,BOURGINEAU,,,,,,,,,,
20,66,9,2:19.820,+6.340,+0.435,149.2,9,DNS RACING,,,,MITJET 2L,,,,,,,,,,,,ERIC,GERARD,,,,,,,,,,
21,16,3,2:19.894,+6.414,+0.074,149.1,8,FOX RACING,,,,MITJET 2L,,,,,,,,,,,,Mattia,FOSSATI,,,IT,,,,,,,
22,69,8,2:20.212,+6.732,+0.318,148.7,9,GT DRIVE,,,,MITJET 2L,,,,,,,,,,,,XAVIER,BOULARD,,,,,,,,,,
23,33,2,2:20.684,+7.204,+0.472,148.2,2,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,F./C.,CROCCOLINO/PAPI,,,IT,,,,,,,
24,17,8,2:21.126,+7.646,+0.442,147.8,8,ARCTIC ENERGY,,,,MITJET 2L,,,,,,,,,,,,EGOROV/SALO,S./M.,,,RU,,,,,,,
25,44,3,2:21.353,+7.873,+0.227,147.5,8,FOX RACING,,,,MITJET 2L,,,,,,,,,,,,E./D.,GARBELLI/FOSSATI,,,,,,,,,,
26,55,8,2:24.899,+11.419,+3.546,143.9,9,DNS RACING,,,,MITJET 2L,,,,,,,,,,,,JONATHAN,POTIER,,,,,,,,,,
27,36,2,2:26.759,+13.279,+1.860,142.1,6,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,AGOSTINO,ROSSETTI,,,IT,,,,,,,
28,8,4,3:15.704,+1:02.224,+48.945,106.6,4,GT DRIVE,,,,MITJET 2L,,,,,,,,,,,,MANU,DAMIANI,,,,,,,,,,
29,110,0,,,,,2,DC RACING,,,,MITJET 2L,,,,,,,,,,,,ALESSANDRO,CREMONA,,,IT,,,,,,,
