POS,NUMBER,LAP,TIME,GAP_FIRST,GAP_PREVIOUS,KPH, LAPS,TEAM,CLASS,GROUP,DIVISION,VEHICLE,TIRES,ECM Participant Id,ECM Team Id,ECM Category Id,ECM Car Id,ECM Brand Id,ECM Country Id,*Extra 7,*Extra 8,*Extra 9,Sort Key,DRIVER_FIRSTNAME,DRIVER_SECONDNAME,DRIVER_LICENSE,DRIVER_HOMETOWN,DRIVER_COUNTRY,DRIVER_SHORTNAME,DRIVER_ECM Driver Id,DRIVER_ECM Country Id,DRIVER_*Extra 3,DRIVER_*Extra 4,DRIVER_*Extra 5,
1,90,4,2:12.254,-,-,157.7,6,SCIONTI RACING TEAM,G,,,MITJET 2L,,,,,,,,,,,,,DEMARCO,,,,,,,,,,
2,88,4,2:12.637,+0.383,+0.383,157.2,6,ARCTIC ENERGY,,,,MITJET 2L,,,,,,,,,,,,,JANKAVICIUS,,,,,,,,,,
3,18,4,2:12.780,+0.526,+0.143,157.1,6,SCIONTI RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,,DESIDERI,,,,,,,,,,
4,71,5,2:12.836,+0.582,+0.056,157.0,6,DNS RACING,,,,MITJET 2L,,,,,,,,,,,,,CAPRASSE,,,,,,,,,,
5,3,4,2:12.913,+0.659,+0.077,156.9,6,SCIONTI RACING TEAM,,,,MITJET 2L,,,,,,,,,,,,,SCIONTI,,,,,,,,,,
6,128,5,2:13.462,+1.208,+0.549,156.3,6,GTDRIVE,J,,,MITJET 2L,,,,,,,,,,,,,FOSSARD,,,,,,,,,,
7,34,6,2:13.877,+1.623,+0.415,155.8,6,ITAL CAR MOTORSPORT,G,,,MITJET 2L,,,,,,,,,,,,,MALVESTITI,,,,,,,,,,
8,32,6,2:14.089,+1.835,+0.212,155.5,6,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,PRANDI,,,,,,,,,,
9,28,4,2:14.122,+1.868,+0.033,155.5,6,GRT MOTORSPORT,,,,MITJET 2L,,,,,,,,,,,,,FUNARI,,,,,,,,,,
10,35,5,2:14.239,+1.985,+0.117,155.4,6,ITAL CAR MOTORSPORT,J,,,MITJET 2L,,,,,,,,,,,,,TOCCI,,,,,,,,,,
11,25,2,2:14.345,+2.091,+0.106,155.2,6,WOLFHOUND,G,,,MITJET 2L,,,,,,,,,,,,,ROUVIER,,,,,,,,,,
12,110,5,2:14.392,+2.138,+0.047,155.2,6,DC RACING,J,,,MITJET 2L,,,,,,,,,,,,,CREMONA,,,,,,,,,,
13,44,3,2:14.509,+2.255,+0.117,155.0,6,FOX RACING,S,,,MITJET 2L,,,,,,,,,,,,,GARBELLI,,,,,,,,,,
14,33,4,2:14.625,+2.371,+0.116,154.9,5,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,PAPI,,,,,,,,,,
15,116,6,2:15.292,+3.038,+0.667,154.1,6,TEAM LUCAS,S,,,MITJET 2L,,,,,,,,,,,,,THIEL,,,,,,,,,,
16,11,4,2:15.443,+3.189,+0.151,154.0,6,GTDRIVE,,,,MITJET 2L,,,,,,,,,,,,,TOURNISSOUX,,,,,,,,,,
17,83,5,2:15.490,+3.236,+0.047,153.9,6,DNS RACING,S,,,MITJET 2L,,,,,,,,,,,,,BOURGINEAU,,,,,,,,,,
18,115,3,2:15.544,+3.290,+0.054,153.9,6,DC RACING,,,,MITJET 2L,,,,,,,,,,,,,FERLONI,,,,,,,,,,
19,69,3,2:15.669,+3.415,+0.125,153.7,6,GTDRIVE,G,,,MITJET 2L,,,,,,,,,,,,,BOURLARD,,,,,,,,,,
20,22,5,2:15.992,+3.738,+0.323,153.4,6,MV2S,S,,,MITJET 2L,,,,,,,,,,,,,BUISSON,,,,,,,,,,
21,16,5,2:16.034,+3.780,+0.042,153.3,5,FOX RACING,,,,MITJET 2L,,,,,,,,,,,,,FOSSATI,,,,,,,,,,
22,68,3,2:16.279,+4.025,+0.245,153.0,6,SCIONTI RACING TEAM,G,,,MITJET 2L,,,,,,,,,,,,,PAPARUSSO,,,,,,,,,,
23,21,4,2:17.666,+5.412,+1.387,151.5,6,MV2S,G,,,MITJET 2L,,,,,,,,,,,,,GERMAIN,,,,,,,,,,
24,66,5,2:17.680,+5.426,+0.014,151.5,6,DNS RACING,S,,,MITJET 2L,,,,,,,,,,,,,GERARD,,,,,,,,,,
25,36,6,2:18.142,+5.888,+0.462,151.0,6,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,ROSSETTI,,,,,,,,,,
26,31,5,2:19.162,+6.908,+1.020,149.9,6,COSTA OVEST,,,,MITJET 2L,,,,,,,,,,,,,SCIOMMERI,,,,,,,,,,
27,55,3,2:19.508,+7.254,+0.346,149.5,6,DNS RACING,G,,,MITJET 2L,,,,,,,,,,,,,POTIER,,,,,,,,,,
28,17,5,2:19.690,+7.436,+0.182,149.3,6,ARCTIC ENERGY,S,,,MITJET 2L,,,,,,,,,,,,,EGOROV,,,,,,,,,,
29,8,0,,,,,0,GTDRIVE,S,,,MITJET 2L,,,,,,,,,,,,,DAMIANI,,,,,,,,,,
