TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1698999038,11/3/2023 8:10:38 AM,87.62,101.48,61,1014.4,5.4,78,0,
1698999098,11/3/2023 8:11:38 AM,87.62,100.22,61,1014.2,5.4,84,0,
1698999158,11/3/2023 8:12:38 AM,87.62,100.22,61,1014.3,6.48,79,0,
1698999219,11/3/2023 8:13:39 AM,87.44,100.94,60,1014.3,5.76,20,0,
1698999283,11/3/2023 8:14:43 AM,87.26,99.5,60,1014.2,8.64,59,0,
1698999343,11/3/2023 8:15:43 AM,87.08,99.5,62,1014.2,5.04,68,0,
1698999403,11/3/2023 8:16:43 AM,86.9,99.14,63,1014.2,9.36,65,0,
1698999464,11/3/2023 8:17:44 AM,86.72,98.42,64,1014.2,6.84,42,0,
1698999524,11/3/2023 8:18:44 AM,86.72,98.42,64,1014.2,4.68,46,0,
1698999584,11/3/2023 8:19:44 AM,86.72,100.22,63,1014.2,7.56,38,0,
1698999644,11/3/2023 8:20:44 AM,87.08,100.58,63,1014.2,6.48,57,0,
1698999704,11/3/2023 8:21:44 AM,87.08,100.22,63,1014.1,6.12,85,0,
1698999764,11/3/2023 8:22:44 AM,87.08,100.22,63,1014.1,6.84,39,0,
1698999824,11/3/2023 8:23:44 AM,87.44,100.94,61,1014.1,10.8,57,0,
1698999884,11/3/2023 8:24:44 AM,87.44,101.66,61,1014,7.2,43,0,
1698999944,11/3/2023 8:25:44 AM,87.44,100.94,61,1014.1,4.68,54,0,
1699000004,11/3/2023 8:26:44 AM,87.44,100.94,60,1014.1,6.12,45,0,
1699000065,11/3/2023 8:27:45 AM,87.62,102.74,60,1014,5.4,43,0,
1699000130,11/3/2023 8:28:50 AM,87.8,102.74,60,1014.1,4.32,62,0,
1699000190,11/3/2023 8:29:50 AM,87.44,102.74,62,1014,7.56,8,0,
1699000250,11/3/2023 8:30:50 AM,87.26,100.76,62,1014.1,5.76,41,0,
1699000310,11/3/2023 8:31:50 AM,87.26,100.94,62,1014.1,9,47,0,
1699000370,11/3/2023 8:32:50 AM,87.08,100.58,61,1014,8.64,49,0,
1699000430,11/3/2023 8:33:50 AM,87.08,100.4,62,1014,6.12,16,0,
1699000490,11/3/2023 8:34:50 AM,87.26,100.4,61,1014,5.04,84,0,
1699000550,11/3/2023 8:35:50 AM,87.44,102.92,62,1014,6.84,73,0,
1699000610,11/3/2023 8:36:50 AM,87.44,103.28,62,1013.9,8.28,24,0,
1699000670,11/3/2023 8:37:50 AM,87.62,101.84,62,1013.9,7.92,29,0,
1699000731,11/3/2023 8:38:51 AM,87.8,103.1,60,1014,8.64,52,0,
1699000791,11/3/2023 8:39:51 AM,87.62,101.84,58,1013.9,6.84,49,0,
