TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1762432826,11/6/2025 12:40:26 PM,86.54,99.86,24,1014.4,7,358,0,
1762432890,11/6/2025 12:41:30 PM,86.18,99.86,25,1014.4,10,329,0,
1762432951,11/6/2025 12:42:31 PM,86.0,99.68,24,1014.5,8,341,0,
1762433016,11/6/2025 12:43:36 PM,86.0,99.68,24,1014.5,10,339,0,
1762433076,11/6/2025 12:44:36 PM,86.0,99.5,24,1014.5,10,337,0,
1762433136,11/6/2025 12:45:36 PM,86.0,99.5,24,1014.4,10,334,0,
1762433196,11/6/2025 12:46:36 PM,86.18,99.5,24,1014.4,10,338,0,
1762433256,11/6/2025 12:47:36 PM,85.82,99.14,24,1014.4,11,330,0,
1762433316,11/6/2025 12:48:36 PM,85.64,98.96,24,1014.4,12,328,0,
1762433376,11/6/2025 12:49:36 PM,85.64,98.96,24,1014.4,13,336,0,
1762433436,11/6/2025 12:50:36 PM,85.64,98.78,24,1014.3,12,338,0,
1762433496,11/6/2025 12:51:36 PM,85.64,98.6,24,1014.3,13,331,0,
1762433557,11/6/2025 12:52:37 PM,86.0,98.6,24,1014.3,10,335,0,
1762433617,11/6/2025 12:53:37 PM,86.0,98.24,25,1014.3,11,334,0,
1762433677,11/6/2025 12:54:37 PM,85.46,98.24,25,1014.3,11,339,0,
1762433737,11/6/2025 12:55:37 PM,85.82,98.06,26,1014.3,11,338,0,
1762433797,11/6/2025 12:56:37 PM,85.46,98.06,26,1014.3,12,331,0,
1762433857,11/6/2025 12:57:37 PM,85.64,97.88,26,1014.3,10,334,0,
1762433917,11/6/2025 12:58:37 PM,86.0,97.7,27,1014.3,8,336,0,
1762433977,11/6/2025 12:59:37 PM,85.82,97.7,27,1014.2,10,343,0,
1762434037,11/6/2025 1:00:37 PM,85.28,97.34,27,1014.2,11,330,0,
1762434097,11/6/2025 1:01:37 PM,85.28,97.34,28,1014.2,10,327,0,
1762434157,11/6/2025 1:02:37 PM,85.28,97.16,27,1014.2,10,324,0,
1762434218,11/6/2025 1:03:38 PM,85.46,97.16,27,1014.3,10,330,0,
1762434278,11/6/2025 1:04:38 PM,85.1,96.98,27,1014.2,10,336,0,
1762434338,11/6/2025 1:05:38 PM,85.1,96.98,27,1014.2,10,328,0,
1762434398,11/6/2025 1:06:38 PM,84.92,96.8,27,1014.3,11,348,0,
1762434458,11/6/2025 1:07:38 PM,84.74,96.44,27,1014.2,11,342,0,
1762434518,11/6/2025 1:08:38 PM,84.92,96.44,27,1014.3,10,332,0,
1762434578,11/6/2025 1:09:38 PM,85.1,96.26,27,1014.2,8,333,0,
1762434638,11/6/2025 1:10:38 PM,84.92,96.26,26,1014.3,6,349,0,
1762434698,11/6/2025 1:11:38 PM,84.92,96.08,26,1014.3,8,339,0,
1762434758,11/6/2025 1:12:38 PM,84.92,96.08,26,1014.3,5,326,0,
1762434818,11/6/2025 1:13:38 PM,84.92,96.08,25,1014.3,6,338,0,
1762434879,11/6/2025 1:14:39 PM,84.92,95.9,25,1014.3,5,333,0,
1762434939,11/6/2025 1:15:39 PM,84.74,95.54,25,1014.4,8,349,0,
1762434999,11/6/2025 1:16:39 PM,84.74,95.54,25,1014.3,6,336,0,
1762435059,11/6/2025 1:17:39 PM,84.92,95.54,25,1014.4,5,335,0,
1762435119,11/6/2025 1:18:39 PM,84.74,95.36,25,1014.4,3,307,0,
1762435179,11/6/2025 1:19:39 PM,84.92,95.36,25,1014.4,3,56,0,
1762435239,11/6/2025 1:20:39 PM,84.92,95.18,25,1014.5,3,319,0,
1762435299,11/6/2025 1:21:39 PM,84.92,95.18,25,1014.4,5,331,0,
1762435359,11/6/2025 1:22:39 PM,84.92,95.0,25,1014.4,1,332,0,
1762435420,11/6/2025 1:23:40 PM,85.1,95.0,26,1014.5,3,328,0,
1762435480,11/6/2025 1:24:40 PM,84.92,94.64,25,1014.5,1,329,0,
