TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1746778253,5/9/2025 8:10:53 AM,54.68,52.34,39,972.2,7,110,0,
1746778313,5/9/2025 8:11:53 AM,54.86,52.34,40,972.1,9,143,0,
1746778373,5/9/2025 8:12:53 AM,55.4,52.34,39,972.1,11,120,0,
1746778433,5/9/2025 8:13:53 AM,55.76,52.34,39,972.2,5,76,0,
1746778493,5/9/2025 8:14:53 AM,55.94,52.34,39,972.2,4,111,0,
1746778554,5/9/2025 8:15:54 AM,56.12,52.34,38,972.2,8,98,0,
1746778614,5/9/2025 8:16:54 AM,56.12,52.34,38,972.2,8,111,0,
1746778674,5/9/2025 8:17:54 AM,56.12,52.7,38,972.2,8,118,0,
1746778734,5/9/2025 8:18:54 AM,55.94,52.7,39,972.1,14,128,0,
1746778794,5/9/2025 8:19:54 AM,55.94,52.7,39,972.1,12,117,0,
1746778859,5/9/2025 8:20:59 AM,55.22,52.88,38,972.2,11,68,0,
1746778919,5/9/2025 8:21:59 AM,55.22,52.88,39,972.2,8,94,0,
1746778979,5/9/2025 8:22:59 AM,56.12,52.88,38,972.2,6,89,0,
1746779039,5/9/2025 8:23:59 AM,55.94,52.88,38,972.1,7,81,0,
1746779099,5/9/2025 8:24:59 AM,56.66,52.88,37,972.2,4,91,0,
1746779159,5/9/2025 8:25:59 AM,55.94,52.88,37,972.3,9,79,0,
1746779220,5/9/2025 8:27:00 AM,56.66,52.88,37,972.1,6,143,0,
1746779280,5/9/2025 8:28:00 AM,56.3,53.06,36,972.2,7,106,0,
1746779340,5/9/2025 8:29:00 AM,56.48,53.06,37,972.2,7,117,0,
1746779400,5/9/2025 8:30:00 AM,56.12,53.06,37,972.2,11,113,0,
1746779460,5/9/2025 8:31:00 AM,55.94,53.06,37,972.3,10,120,0,
1746779520,5/9/2025 8:32:00 AM,56.12,53.24,37,972.2,10,90,0,
1746779580,5/9/2025 8:33:00 AM,56.12,53.24,37,972.2,9,145,0,
1746779640,5/9/2025 8:34:00 AM,56.3,53.24,37,972.2,6,138,0,
1746779700,5/9/2025 8:35:00 AM,56.48,53.24,37,972.3,8,98,0,
1746779760,5/9/2025 8:36:00 AM,56.3,53.6,37,972.3,8,94,0,
1746779820,5/9/2025 8:37:00 AM,55.58,53.6,37,972.2,12,112,0,
1746779881,5/9/2025 8:38:01 AM,55.94,53.6,37,972.3,9,110,0,
1746779941,5/9/2025 8:39:01 AM,55.76,53.6,37,972.2,9,80,0,
1746780001,5/9/2025 8:40:01 AM,55.58,53.6,37,972.3,10,111,0,
1746780061,5/9/2025 8:41:01 AM,55.58,53.6,37,972.2,10,61,0,
1746780121,5/9/2025 8:42:01 AM,55.4,53.6,37,972.3,12,88,0,
1746780181,5/9/2025 8:43:01 AM,55.22,53.6,37,972.3,13,80,0,
1746780241,5/9/2025 8:44:01 AM,55.22,53.78,37,972.4,12,107,0,
