TIME_UTC_SECONDS,TIME_UTC_STR,AIR_TEMP,TRACK_TEMP,HUMIDITY,PRESSURE,WIND_SPEED,WIND_DIRECTION,RAIN,
1757577660,9/11/2025 8:01:00 AM,13.04,13.7,81.88,983.4,1,169,-999,
1757577721,9/11/2025 8:02:01 AM,13.06,13.7,81.63,983.5,1.8,157,-999,
1757577782,9/11/2025 8:03:02 AM,13.03,13.8,81.21,983.4,1.8,210,-999,
1757577843,9/11/2025 8:04:03 AM,13.01,13.9,81.16,983.4,2.8,205,-999,
1757577904,9/11/2025 8:05:04 AM,13,13.9,81.28,983.4,1.4,201,-999,
1757577965,9/11/2025 8:06:05 AM,12.99,13.8,81.64,983.4,2.1,205,-999,
1757578026,9/11/2025 8:07:06 AM,13.02,14,81.78,983.5,1.6,216,-999,
1757578087,9/11/2025 8:08:07 AM,13.04,14,81.71,983.5,2.1,174,-999,
1757578148,9/11/2025 8:09:08 AM,13.05,14,81.3,983.5,1.6,193,-999,
1757578209,9/11/2025 8:10:09 AM,13.05,13.8,81.14,983.4,1.6,169,-999,
1757578270,9/11/2025 8:11:10 AM,13.05,13.6,81.34,983.5,1.3,187,-999,
1757578331,9/11/2025 8:12:11 AM,13.02,13.6,81.18,983.6,1.6,211,-999,
1757578392,9/11/2025 8:13:12 AM,12.98,13.5,81.22,983.6,1.9,206,-999,
1757578453,9/11/2025 8:14:13 AM,12.94,13.7,81.46,983.4,2.2,199,-999,
1757578514,9/11/2025 8:15:14 AM,12.96,14.1,81.49,983.5,2.2,194,-999,
1757578575,9/11/2025 8:16:15 AM,12.99,14.2,81.36,983.6,1.7,165,-999,
1757578636,9/11/2025 8:17:16 AM,13.05,14.3,81.33,983.6,2.2,174,-999,
1757578697,9/11/2025 8:18:17 AM,13.12,14.4,81.25,983.6,1.7,219,-999,
1757578758,9/11/2025 8:19:18 AM,13.23,14.6,81.17,983.6,1.2,219,-999,
1757578819,9/11/2025 8:20:19 AM,13.31,14.7,80.25,983.6,2.7,218,-999,
1757578880,9/11/2025 8:21:20 AM,13.37,14.8,80.27,983.6,1.7,172,-999,
1757578941,9/11/2025 8:22:21 AM,13.47,14.8,80.36,983.6,2.2,216,-999,
1757579002,9/11/2025 8:23:22 AM,13.56,15,79.31,983.6,3,189,-999,
1757579063,9/11/2025 8:24:23 AM,13.51,15.1,78.98,983.6,1.8,213,-999,
1757579124,9/11/2025 8:25:24 AM,13.53,15.1,79.41,983.6,1.9,226,-999,
1757579185,9/11/2025 8:26:25 AM,13.54,15.2,79.5,983.6,2.4,216,-999,
1757579246,9/11/2025 8:27:26 AM,13.56,15.4,78.91,983.5,3.6,222,-999,
1757579307,9/11/2025 8:28:27 AM,13.56,15.4,78.84,983.7,2.5,225,-999,
1757579368,9/11/2025 8:29:28 AM,13.59,15.4,78.66,983.6,3.5,214,-999,
1757579429,9/11/2025 8:30:29 AM,13.6,15.6,78.93,983.6,2.3,176,-999,
1757579490,9/11/2025 8:31:30 AM,13.65,15.7,78.76,983.6,2,176,-999,
1757579551,9/11/2025 8:32:31 AM,13.66,15.7,78.59,983.6,2.3,182,-999,
1757579612,9/11/2025 8:33:32 AM,13.77,15.8,78.9,983.6,0.9,218,-999,
1757579673,9/11/2025 8:34:33 AM,13.79,16,78.56,983.6,2.5,217,-999,
1757579734,9/11/2025 8:35:34 AM,13.87,16.1,78.25,983.6,2.7,212,-999,
1757579795,9/11/2025 8:36:35 AM,13.89,16.2,77.87,983.7,2.3,215,-999,
1757579856,9/11/2025 8:37:36 AM,13.94,16.4,77.67,983.7,2.3,193,-999,
1757579917,9/11/2025 8:38:37 AM,13.99,16.7,76.51,983.7,2.6,161,-999,
1757579978,9/11/2025 8:39:38 AM,14.02,16.8,76.58,983.7,3.3,234,-999,
1757580039,9/11/2025 8:40:39 AM,14.07,16.9,76.64,983.6,3.2,217,-999,
1757580100,9/11/2025 8:41:40 AM,14.11,17,76.75,983.7,2,170,-999,
1757580161,9/11/2025 8:42:41 AM,14.19,17.1,76.21,983.7,2.8,168,-999,
1757580222,9/11/2025 8:43:42 AM,14.24,17.3,76.32,983.6,2.2,209,-999,
1757580283,9/11/2025 8:44:43 AM,14.31,17.3,75.83,983.5,4.1,219,-999,
1757580344,9/11/2025 8:45:44 AM,14.39,17.4,75.71,983.7,3.4,212,-999,
1757580405,9/11/2025 8:46:45 AM,14.48,17.6,75.35,983.8,2.7,216,-999,
1757580466,9/11/2025 8:47:46 AM,14.58,17.5,75.16,983.7,3.1,215,-999,
1757580527,9/11/2025 8:48:47 AM,14.63,17.5,75.4,983.7,3.1,207,-999,
1757580588,9/11/2025 8:49:48 AM,14.69,17.6,74.04,983.6,3.8,209,-999,
1757580649,9/11/2025 8:50:49 AM,14.65,17.6,73.93,983.7,3.1,217,-999,
1757580710,9/11/2025 8:51:50 AM,14.56,17.4,73.94,983.6,3.4,226,-999,
1757580771,9/11/2025 8:52:51 AM,14.47,17.3,74.09,983.6,2.9,223,-999,
1757580832,9/11/2025 8:53:52 AM,14.39,17.2,74.47,983.7,1.7,177,-999,
1757580893,9/11/2025 8:54:53 AM,14.39,17.2,74.88,983.7,2.5,208,-999,
1757580954,9/11/2025 8:55:54 AM,14.42,17.2,74.71,983.6,3.3,225,-999,
1757581015,9/11/2025 8:56:55 AM,14.44,17.1,74.42,983.7,2.3,210,-999,
1757581076,9/11/2025 8:57:56 AM,14.45,17.1,74.46,983.7,2.5,203,-999,
1757581137,9/11/2025 8:58:57 AM,14.45,17.1,74.61,983.8,2.7,225,-999,
1757581198,9/11/2025 8:59:58 AM,14.44,17.1,74.56,983.7,2.2,164,-999,
1757581259,9/11/2025 9:00:59 AM,14.43,17.1,75.21,983.7,0.9,160,-999,
1757581320,9/11/2025 9:02:00 AM,14.46,17.1,75.24,983.6,3.3,223,-999,
1757581381,9/11/2025 9:03:01 AM,14.55,17.1,74.98,983.7,2.1,225,-999,
1757581442,9/11/2025 9:04:02 AM,14.58,17.1,74.46,983.6,2.5,222,-999,
1757581503,9/11/2025 9:05:03 AM,14.55,17,73.78,983.6,2.4,221,-999,
1757581564,9/11/2025 9:06:04 AM,14.49,16.8,73.65,983.7,3.6,225,-999,
1757581625,9/11/2025 9:07:05 AM,14.35,16.7,73.73,983.7,2.7,229,-999,
1757581686,9/11/2025 9:08:06 AM,14.27,16.6,74.42,983.7,1.8,170,-999,
1757581747,9/11/2025 9:09:07 AM,14.2,16.5,74.58,983.7,2.3,224,-999,
1757581808,9/11/2025 9:10:08 AM,14.16,16.8,74.77,983.7,2.3,221,-999,
1757581869,9/11/2025 9:11:09 AM,14.17,17,75.3,983.7,1,173,-999,
1757581930,9/11/2025 9:12:10 AM,14.2,17.2,74.87,983.8,1.9,170,-999,
1757581991,9/11/2025 9:13:11 AM,14.28,17.4,74.67,983.6,2.4,217,-999,
1757582052,9/11/2025 9:14:12 AM,14.32,17.8,73.92,983.7,2,195,-999,
1757582113,9/11/2025 9:15:13 AM,14.42,18,73.9,983.6,2.3,216,-999,
1757582174,9/11/2025 9:16:14 AM,14.55,18.1,73.83,983.6,2.4,212,-999,
1757582235,9/11/2025 9:17:15 AM,14.67,18.1,73.59,983.6,2.3,171,-999,
1757582296,9/11/2025 9:18:16 AM,14.72,18.3,73.29,983.7,2.1,189,-999,
1757582357,9/11/2025 9:19:17 AM,14.67,18.4,72.73,983.7,2.5,185,-999,
1757582418,9/11/2025 9:20:18 AM,14.67,18.5,72.91,983.7,3,176,-999,
1757582479,9/11/2025 9:21:19 AM,14.68,18.7,72.88,983.6,2.5,206,-999,
1757582540,9/11/2025 9:22:20 AM,14.72,18.8,72.85,983.7,2.9,225,-999,
1757582601,9/11/2025 9:23:21 AM,14.76,18.7,72.93,983.7,2.2,215,-999,
1757582662,9/11/2025 9:24:22 AM,14.75,18.6,72.39,983.7,4.4,188,-999,
1757582723,9/11/2025 9:25:23 AM,14.69,18.4,72.39,983.6,3.2,213,-999,
1757582784,9/11/2025 9:26:24 AM,14.66,18.4,72.56,983.7,4.1,219,-999,
1757582845,9/11/2025 9:27:25 AM,14.59,18.3,72.97,983.7,2.3,182,-999,
1757582906,9/11/2025 9:28:26 AM,14.61,18.3,72.96,983.5,2.1,176,-999,
1757582967,9/11/2025 9:29:27 AM,14.49,18.3,73.01,983.6,2.9,213,-999,
1757583028,9/11/2025 9:30:28 AM,14.47,18.3,73.56,983.6,3.4,225,-999,
1757583089,9/11/2025 9:31:29 AM,14.47,18.6,73.87,983.6,2.5,194,-999,
1757583150,9/11/2025 9:32:30 AM,14.54,18.8,73.78,983.6,4.1,223,-999,
1757583211,9/11/2025 9:33:31 AM,14.58,19,73.15,983.6,2,173,-999,
1757583272,9/11/2025 9:34:32 AM,14.62,19.1,72.88,983.5,3.1,226,-999,
1757583333,9/11/2025 9:35:33 AM,14.64,19.1,72.26,983.6,4.3,229,-999,
1757583394,9/11/2025 9:36:34 AM,14.67,19.3,72.19,983.6,3.3,205,-999,
1757583455,9/11/2025 9:37:35 AM,14.75,19.5,71.49,983.5,2.3,208,-999,
1757583516,9/11/2025 9:38:36 AM,14.83,19.6,71.09,983.5,2.8,211,-999,
1757583577,9/11/2025 9:39:37 AM,14.93,19.7,70.38,983.5,1.9,173,-999,
1757583638,9/11/2025 9:40:38 AM,15.06,19.8,70.65,983.5,2.2,231,-999,
1757583699,9/11/2025 9:41:39 AM,15.15,20.1,70.1,983.5,3,206,-999,
1757583760,9/11/2025 9:42:40 AM,15.27,20.1,69.43,983.5,2,173,-999,
